image,healing_score,redness,pus,infection
abrasions_57.jpg,66,1,1,0
abrasions_58.jpg,87,1,1,1
abrasions_59.jpg,55,0,1,0
abrasions_6.jpg,61,0,1,1
abrasions_60.jpg,72,1,0,1
abrasions_61.jpg,44,1,0,1
abrasions_62.jpg,13,1,1,1
abrasions_63.jpg,45,1,0,1
abrasions_64.jpg,24,1,1,1
abrasions_65.jpg,77,0,0,0
abrasions_66.jpg,95,1,1,0
abrasions_67.jpg,58,0,0,0
abrasions_68.jpg,60,1,1,0
abrasions_69.jpg,74,0,0,0
abrasions_7.jpg,29,0,1,0
abrasions_70.jpg,40,0,1,1
abrasions_71.jpg,48,1,0,1
abrasions_72.jpg,57,1,0,0
abrasions_73.jpg,94,0,0,0
abrasions_74.jpg,64,1,1,0
abrasions_75.jpg,64,0,1,1
abrasions_76.jpg,75,1,0,1
abrasions_77.jpg,30,1,1,0
abrasions_78.jpg,83,1,0,0
abrasions_79.jpg,48,0,0,0
abrasions_8.jpg,92,0,1,0
abrasions_80.jpg,84,0,1,1
abrasions_81.jpg,17,1,1,0
abrasions_82.jpg,50,1,0,1
abrasions_83.jpg,12,1,0,0
abrasions_84.jpg,87,1,0,0
abrasions_85.jpg,80,0,0,1
abrasions_9.jpg,83,0,1,0
bruises_1.jpg,38,0,0,0
bruises_10.jpg,36,1,0,0
bruises_100.jpg,20,1,1,0
bruises_101.jpg,92,1,1,1
bruises_102.jpg,19,0,1,0
bruises_103.jpg,26,1,0,1
bruises_104.jpg,50,0,0,0
bruises_105.jpg,43,1,0,0
bruises_106.jpg,28,1,1,0
bruises_107.jpg,52,0,1,1
bruises_108.jpg,90,0,1,1
bruises_109.jpg,57,0,0,0
bruises_11.jpg,18,0,1,1
bruises_110.jpg,35,0,1,0
bruises_111.jpg,54,0,0,1
bruises_112.jpg,26,0,0,0
bruises_113.jpg,81,0,1,1
bruises_114.jpg,29,0,1,0
bruises_115.jpg,39,1,1,0
bruises_116.jpg,12,1,1,0
bruises_117.jpg,63,0,1,1
bruises_118.jpg,79,1,0,0
bruises_119.jpg,51,0,0,1
bruises_12.jpg,60,0,1,1
bruises_120.jpg,36,1,1,1
bruises_121.jpg,93,1,0,0
bruises_122.jpg,29,1,0,0
bruises_13.jpg,27,1,1,0
bruises_14.jpg,64,1,0,1
bruises_15.jpg,17,1,1,0
bruises_16.jpg,83,0,0,0
bruises_17.jpg,10,0,1,1
bruises_18.jpg,88,1,1,0
bruises_19.jpg,38,1,1,1
bruises_2.jpg,53,0,1,0
bruises_20.jpg,25,1,1,0
bruises_21.jpg,51,1,0,0
bruises_22.jpg,56,0,0,0
bruises_23.jpg,88,1,1,1
bruises_24.jpg,67,1,1,1
bruises_25.jpg,64,1,0,1
bruises_26.jpg,52,1,1,1
bruises_27.jpg,81,0,1,1
bruises_28.jpg,77,1,1,0
bruises_29.jpg,51,0,1,0
bruises_3.jpg,37,0,0,0
bruises_30.jpg,29,0,0,0
bruises_31.jpg,11,0,1,1
bruises_32.jpg,19,0,1,0
bruises_33.jpg,63,1,0,0
bruises_34.jpg,22,1,1,1
bruises_35.jpg,64,1,0,0
bruises_36.jpg,48,0,0,0
bruises_37.jpg,48,1,1,1
bruises_38.jpg,61,1,0,1
bruises_39.jpg,95,0,1,1
bruises_4.jpg,25,1,1,1
bruises_40.jpg,85,1,0,1
bruises_41.jpg,70,0,0,0
bruises_42.jpg,86,0,0,1
bruises_43.jpg,47,0,0,0
bruises_44.jpg,20,0,1,1
bruises_45.jpg,34,0,0,0
bruises_46.jpg,62,1,0,1
bruises_47.jpg,84,0,0,0
bruises_48.jpg,32,1,1,1
bruises_49.jpg,74,1,0,0
bruises_5.jpg,84,0,0,0
bruises_50.jpg,17,0,0,0
bruises_51.jpg,69,1,1,1
bruises_52.jpg,90,0,0,0
bruises_53.jpg,63,0,0,1
bruises_54.jpg,54,0,0,0
bruises_55.jpg,89,1,1,1
bruises_56.jpg,47,1,1,0
bruises_57.jpg,25,1,1,1
bruises_58.jpg,36,1,0,1
bruises_59.jpg,76,0,0,0
bruises_6.jpg,53,1,0,1
bruises_60.jpg,18,1,1,0
bruises_61.jpg,59,1,0,0
bruises_62.jpg,30,0,1,1
bruises_63.jpg,60,1,1,0
bruises_64.jpg,17,1,1,1
bruises_65.jpg,23,0,1,1
bruises_66.jpg,16,0,1,0
bruises_67.jpg,22,1,0,1
bruises_68.jpg,52,0,0,0
bruises_69.jpg,16,0,1,1
bruises_7.jpg,28,1,0,1
bruises_70.jpg,85,1,1,1
bruises_71.jpg,33,1,1,0
bruises_72.jpg,12,0,1,1
bruises_73.jpg,22,0,0,1
bruises_74.jpg,70,0,1,1
bruises_75.jpg,79,1,0,0
bruises_76.jpg,29,1,1,1
bruises_77.jpg,17,1,0,0
bruises_78.jpg,10,1,0,0
bruises_79.jpg,46,0,1,0
bruises_8.jpg,70,1,0,1
bruises_80.jpg,36,1,1,1
bruises_81.jpg,29,0,0,0
bruises_82.jpg,41,0,0,0
bruises_83.jpg,35,1,1,0
bruises_84.jpg,16,1,0,0
bruises_85.jpg,73,1,0,0
bruises_86.jpg,32,0,0,0
bruises_87.jpg,13,0,1,1
bruises_88.jpg,62,0,0,1
bruises_89.jpg,47,1,1,0
bruises_9.jpg,19,0,0,0
bruises_90.jpg,23,1,0,0
bruises_91.jpg,21,0,1,1
bruises_92.jpg,77,1,0,1
bruises_93.jpg,68,1,1,1
bruises_94.jpg,84,0,0,1
bruises_95.jpg,53,1,1,0
bruises_96.jpg,27,0,1,0
bruises_97.jpg,69,0,0,0
bruises_98.jpg,79,1,0,0
bruises_99.jpg,83,0,1,1
burns_1.jpg,78,1,0,0
burns_10.jpg,36,0,0,1
burns_11.jpg,55,0,1,1
burns_12.jpg,19,1,1,0
burns_13.jpg,69,0,0,1
burns_14.jpg,76,1,1,1
burns_15.jpg,12,0,1,0
burns_16.jpg,42,1,1,0
burns_17.jpg,72,0,1,0
burns_18.jpg,54,0,1,0
burns_19.jpg,92,0,1,0
burns_2.jpg,19,0,1,0
burns_20.jpg,59,1,0,1
burns_21.jpg,76,0,0,1
burns_22.jpg,59,0,1,0
burns_23.jpg,52,0,0,0
burns_24.jpg,19,0,0,1
burns_25.jpg,39,0,0,0
burns_26.jpg,77,0,1,1
burns_27.jpg,33,0,0,1
burns_28.jpg,40,1,0,1
burns_29.jpg,42,0,0,0
burns_3.jpg,66,0,0,0
burns_30.jpg,36,1,1,1
burns_31.jpg,57,0,1,1
burns_32.jpg,36,1,0,0
burns_33.jpg,52,1,0,1
burns_34.jpg,15,1,1,0
burns_35.jpg,20,0,0,1
burns_36.jpg,73,0,1,1
burns_37.jpg,80,0,1,1
burns_38.jpg,84,1,1,0
burns_39.jpg,90,1,0,0
burns_4.jpg,22,1,0,1
burns_40.jpg,88,1,0,1
burns_41.jpg,92,0,0,0
burns_42.jpg,42,1,1,1
burns_43.jpg,82,1,1,1
burns_44.jpg,74,0,1,1
burns_45.jpg,65,0,1,0
burns_46.jpg,66,0,1,1
burns_47.jpg,58,0,1,0
burns_48.jpg,35,1,0,0
burns_49.jpg,47,0,0,0
burns_5.jpg,38,1,1,0
burns_50.jpg,47,0,0,0
burns_51.jpg,74,1,1,0
burns_52.jpg,47,1,0,1
burns_53.jpg,18,0,1,1
burns_54.jpg,63,0,1,1
burns_55.jpg,90,1,0,0
burns_56.jpg,71,1,0,1
burns_57.jpg,54,0,1,0
burns_58.jpg,95,1,1,0
burns_59.jpg,93,1,0,0
burns_6.jpg,86,1,0,0
burns_7.jpg,72,1,1,1
burns_8.jpg,79,1,1,0
burns_9.jpg,95,0,1,0
cut_1.jpg,11,0,0,0
cut_10.jpg,46,1,0,0
cut_11.jpg,13,0,1,1
cut_12.jpg,11,0,0,1
cut_13.jpg,10,1,0,1
cut_14.jpg,14,0,1,0
cut_15.jpg,49,1,0,0
cut_16.jpg,86,0,1,0
cut_17.jpg,42,0,0,1
cut_18.jpg,28,0,1,0
cut_19.jpg,13,0,0,0
cut_2.jpg,31,0,1,0
cut_20.jpg,91,1,0,0
cut_21.jpg,55,1,0,0
cut_22.jpg,44,1,0,0
cut_23.jpg,13,0,0,1
cut_24.jpg,90,1,1,0
cut_25.jpg,22,1,0,1
cut_26.jpg,61,0,0,1
cut_27.jpg,71,0,0,1
cut_28.jpg,66,0,0,1
cut_29.jpg,75,1,0,1
cut_3.jpg,60,1,0,1
cut_30.jpg,33,1,1,1
cut_31.jpg,57,0,0,0
cut_32.jpg,60,0,0,1
cut_33.jpg,10,1,1,1
cut_34.jpg,56,1,0,0
cut_35.jpg,47,0,0,0
cut_36.jpg,50,0,0,1
cut_37.jpg,48,0,1,0
cut_38.jpg,17,0,0,1
cut_39.jpg,66,1,1,1
cut_4.jpg,77,1,1,0
cut_40.jpg,40,1,0,0
cut_41.jpg,36,0,1,1
cut_42.jpg,92,1,0,0
cut_43.jpg,20,0,0,0
cut_44.jpg,95,0,0,0
cut_45.jpg,81,0,1,0
cut_46.jpg,64,1,0,0
cut_47.jpg,42,1,0,0
cut_48.jpg,26,0,1,0
cut_49.jpg,42,0,0,1
cut_5.jpg,19,0,1,1
cut_50.jpg,61,1,1,1
cut_6.jpg,30,0,0,0
cut_7.jpg,73,0,1,0
cut_8.jpg,12,1,0,0
cut_9.jpg,48,0,0,0
ingrown_nail1.jpg,55,1,0,0
ingrown_nail10.jpg,52,1,1,1
ingrown_nail11.jpg,93,0,0,1
ingrown_nail12.jpg,61,1,0,1
ingrown_nail13.jpg,32,0,0,1
ingrown_nail14.jpg,81,0,1,0
ingrown_nail15.jpg,65,1,0,1
ingrown_nail16.jpg,30,0,0,1
ingrown_nail17.jpg,47,0,0,0
ingrown_nail18.jpg,31,1,1,0
ingrown_nail19.jpg,18,0,0,0
ingrown_nail2.jpg,36,0,1,1
ingrown_nail20.jpg,12,1,1,0
ingrown_nail21.jpg,54,0,0,0
ingrown_nail22.jpg,70,0,1,1
ingrown_nail23.jpg,88,0,1,1
ingrown_nail24.jpg,40,1,1,1
ingrown_nail25.jpg,83,0,1,1
ingrown_nail26.jpg,29,0,1,1
ingrown_nail27.jpg,86,0,0,0
ingrown_nail28.jpg,70,1,0,0
ingrown_nail29.jpg,10,1,1,0
ingrown_nail3.jpg,33,1,1,0
ingrown_nail30.jpg,37,1,0,1
ingrown_nail31.jpg,73,0,1,1
ingrown_nail4.jpg,78,0,0,0
ingrown_nail5.jpg,81,0,0,1
ingrown_nail6.jpg,88,0,1,1
ingrown_nail7.jpg,35,0,0,0
ingrown_nail8.jpg,69,1,0,1
ingrown_nail9.jpg,33,0,1,1
laseration_1.jpg,68,1,0,0
laseration_10.jpg,33,0,0,1
laseration_11.jpg,32,0,1,1
laseration_12.jpg,89,0,0,1
laseration_13.jpg,50,1,0,0
laseration_14.jpg,57,1,1,0
laseration_15.jpg,31,1,0,0
laseration_16.jpg,29,0,1,0
laseration_17.jpg,68,0,1,1
laseration_18.jpg,42,0,1,1
laseration_19.jpg,86,1,0,0
laseration_2.jpg,22,1,0,0
laseration_20.jpg,43,1,0,0
laseration_21.jpg,26,1,1,0
laseration_22.jpg,84,0,0,1
laseration_23.jpg,25,0,0,1
laseration_24.jpg,16,0,0,0
laseration_25.jpg,38,0,0,1
laseration_26.jpg,19,0,1,0
laseration_27.jpg,92,0,0,0
laseration_28.jpg,62,1,1,1
laseration_29.jpg,90,0,1,1
laseration_3.jpg,73,1,1,1
laseration_30.jpg,17,0,0,1
laseration_31.jpg,35,1,1,0
laseration_32.jpg,50,1,1,0
laseration_33.jpg,61,0,1,1
laseration_34.jpg,81,0,0,0
laseration_35.jpg,31,0,1,0
laseration_36.jpg,12,0,1,1
laseration_37.jpg,46,0,1,0
laseration_38.jpg,34,1,0,0
laseration_39.jpg,27,0,0,0
laseration_4.jpg,60,0,0,1
laseration_40.jpg,14,0,1,1
laseration_41.jpg,25,1,0,1
laseration_42.jpg,27,1,0,1
laseration_43.jpg,34,0,1,0
laseration_44.jpg,59,1,1,0
laseration_45.jpg,92,0,0,1
laseration_46.jpg,79,1,0,0
laseration_47.jpg,92,0,1,1
laseration_48.jpg,15,0,0,0
laseration_49.jpg,87,0,0,0
laseration_5.jpg,58,1,1,1
laseration_50.jpg,75,1,0,0
laseration_51.jpg,16,0,1,0
laseration_52.jpg,21,1,1,0
laseration_53.jpg,88,0,1,1
laseration_54.jpg,12,0,1,1
laseration_55.jpg,17,1,1,1
laseration_56.jpg,76,0,0,0
laseration_57.jpg,45,1,0,0
laseration_58.jpg,66,1,1,1
laseration_59.jpg,46,0,0,1
laseration_6.jpg,53,1,1,0
laseration_60.jpg,62,0,1,1
laseration_61.jpg,23,0,1,0
laseration_7.jpg,81,1,1,1
laseration_8.jpg,92,1,1,0
laseration_9.jpg,17,0,1,1
stab_wound1.jpg,25,1,1,1
stab_wound10.jpg,47,1,1,0
stab_wound11.jpg,72,0,0,0
stab_wound12.jpg,43,0,1,0
stab_wound13.jpg,15,1,0,1
stab_wound14.jpg,26,0,1,0
stab_wound15.jpg,33,1,0,0
stab_wound16.jpg,22,1,1,0
stab_wound17.jpg,86,0,0,0
stab_wound18.jpg,89,0,1,0
stab_wound19.jpg,90,0,0,0
stab_wound2.jpg,10,1,0,1
stab_wound20.jpg,90,1,1,1
stab_wound21.jpg,73,1,0,0
stab_wound22.jpg,32,0,1,1
stab_wound23.jpg,35,1,0,0
stab_wound3.jpg,75,0,0,0
stab_wound4.jpg,43,0,1,1
stab_wound5.jpg,65,0,0,1
stab_wound6.jpg,72,1,0,0
stab_wound7.jpg,43,0,1,0
stab_wound8.jpg,71,1,1,0
stab_wound9.jpg,91,1,1,0
